+-------------+----------+---------------------------+---------------------+
| ClientIP    | count(*) | avg(hits.ResolutionWidth) | sum(hits.IsRefresh) |
| 2068464272  | 7325     | 1606.8172013651877        | 374                 |
| 1355275169  | 7035     | 1531.8683724235964        | 394                 |
| -480879923  | 6868     | 1624.864735002912         | 525                 |
| 2061209781  | 6853     | 1658.215088282504         | 316                 |
| -1295078784 | 6484     | 1530.874460209747         | 402                 |
+-------------+----------+---------------------------+---------------------+
+-------------+----------+---------------------------+---------------------+
| ClientIP    | count(*) | avg(hits.ResolutionWidth) | sum(hits.IsRefresh) |
+-------------+----------+---------------------------+---------------------+
| -39921974   | 47008    | 1917.0                    | 29655               |
| -1698104457 | 29121    | 1995.3132790769548        | 22088               |
| -1175819552 | 25333    | 1917.0                    | 0                   |
| 1696638182  | 20021    | 1867.4449328205385        | 1233                |
| 1138507705  | 15689    | 1349.090063101536         | 703                 |
| -927025522  | 12720    | 1622.9008647798742        | 888                 |
| -1262139876 | 11259    | 1499.2942534861           | 875                 |
| 1740861572  | 11175    | 1528.5076510067115        | 718                 |
| -807147100  | 9787     | 1564.8420353530194        | 698                 |
| -631062503  | 9648     | 1503.7452321724709        | 782                 |
| -111251117  | 9597     | 1640.3766802125665        | 165                 |
| -1945757555 | 9479     | 1505.3858001898934        | 686                 |
| -446221142  | 9415     | 1461.9997875730219        | 496                 |
| -1870623097 | 9144     | 1526.2832458442695        | 797                 |
| -1052437439 | 9100     | 1517.5864835164834        | 643                 |
| -1151786387 | 9061     | 1521.788654673877         | 689                 |
| -497906719  | 9050     | 1543.3558011049724        | 768                 |
| 1146197031  | 9034     | 1551.7988709320346        | 490                 |
| -265917476  | 8971     | 1532.862445658232         | 463                 |
| -792059583  | 8772     | 1513.2347241222071        | 651                 |
| -1836087206 | 8750     | 1511.7882285714286        | 530                 |
| -489681341  | 8706     | 1523.573857110039         | 457                 |
| -213744156  | 8658     | 1516.1770616770616        | 653                 |
| -465813166  | 8543     | 1523.1237270279762        | 534                 |
| -607339269  | 8517     | 1519.6034988845838        | 642                 |
| -277892100  | 8509     | 1050.031261017746         | 293                 |
| -146201903  | 8487     | 1509.0166136443972        | 500                 |
| -398753756  | 8472     | 1540.471553352219         | 542                 |
| -859144196  | 8404     | 1489.707401237506         | 595                 |
| -947382330  | 8398     | 1505.2100500119077        | 571                 |
| -1743596151 | 8396     | 1536.2642925202476        | 531                 |
| -1125673878 | 8284     | 1555.8364316755192        | 639                 |
| -1279588490 | 8274     | 1500.3751510756588        | 668                 |
| -909494221  | 8124     | 1527.725258493353         | 348                 |
| 898648863   | 8093     | 1694.828617323613         | 1001                |
| -748701126  | 8034     | 1497.255787901419         | 357                 |
| -1621554155 | 7990     | 1548.2972465581977        | 644                 |
| -1089778290 | 7873     | 1525.7374571319701        | 520                 |
| -1106675868 | 7842     | 1504.4926039275695        | 478                 |
| -1206311089 | 7831     | 1504.5132167028476        | 387                 |
| -2078396643 | 7750     | 1563.9451612903226        | 484                 |
| -1869210064 | 7655     | 1637.7320705421293        | 391                 |
| -1682685917 | 7639     | 1546.9876947244404        | 492                 |
| -1223964817 | 7638     | 1570.7215239591517        | 322                 |
| -1827755091 | 7519     | 1697.8126080595823        | 591                 |
| 2068464272  | 7325     | 1606.8172013651877        | 374                 |
| 1355275169  | 7035     | 1531.8683724235964        | 394                 |
| -480879923  | 6868     | 1624.864735002912         | 525                 |
| 2061209781  | 6853     | 1658.215088282504         | 316                 |
| -1295078784 | 6484     | 1530.874460209747         | 402                 |
+-------------+----------+---------------------------+---------------------+
+-------------+----------+---------------------------+---------------------+
| ClientIP    | count(*) | avg(hits.ResolutionWidth) | sum(hits.IsRefresh) |
+-------------+----------+---------------------------+---------------------+
| -39921974   | 47008    | 1917.0                    | 29655               |
| -1698104457 | 29121    | 1995.3132790769548        | 22088               |
| -1175819552 | 25333    | 1917.0                    | 0                   |
| 1696638182  | 20021    | 1867.4449328205385        | 1233                |
| 1138507705  | 15689    | 1349.090063101536         | 703                 |
| -927025522  | 12720    | 1622.9008647798742        | 888                 |
| -1262139876 | 11259    | 1499.2942534861           | 875                 |
| 1740861572  | 11175    | 1528.5076510067115        | 718                 |
| -807147100  | 9787     | 1564.8420353530194        | 698                 |
| -631062503  | 9648     | 1503.7452321724709        | 782                 |
| -111251117  | 9597     | 1640.3766802125665        | 165                 |
| -1945757555 | 9479     | 1505.3858001898934        | 686                 |
| -446221142  | 9415     | 1461.9997875730219        | 496                 |
| -1870623097 | 9144     | 1526.2832458442695        | 797                 |
| -1052437439 | 9100     | 1517.5864835164834        | 643                 |
| -1151786387 | 9061     | 1521.788654673877         | 689                 |
| -497906719  | 9050     | 1543.3558011049724        | 768                 |
| 1146197031  | 9034     | 1551.7988709320346        | 490                 |
| -265917476  | 8971     | 1532.862445658232         | 463                 |
| -792059583  | 8772     | 1513.2347241222071        | 651                 |
| -1836087206 | 8750     | 1511.7882285714286        | 530                 |
| -489681341  | 8706     | 1523.573857110039         | 457                 |
| -213744156  | 8658     | 1516.1770616770616        | 653                 |
| -465813166  | 8543     | 1523.1237270279762        | 534                 |
| -607339269  | 8517     | 1519.6034988845838        | 642                 |
| -277892100  | 8509     | 1050.031261017746         | 293                 |
| -146201903  | 8487     | 1509.0166136443972        | 500                 |
| -398753756  | 8472     | 1540.471553352219         | 542                 |
| -859144196  | 8404     | 1489.707401237506         | 595                 |
| -947382330  | 8398     | 1505.2100500119077        | 571                 |
| -1743596151 | 8396     | 1536.2642925202476        | 531                 |
| -1125673878 | 8284     | 1555.8364316755192        | 639                 |
| -1279588490 | 8274     | 1500.3751510756588        | 668                 |
| -909494221  | 8124     | 1527.725258493353         | 348                 |
| 898648863   | 8093     | 1694.828617323613         | 1001                |
| -748701126  | 8034     | 1497.255787901419         | 357                 |
| -1621554155 | 7990     | 1548.2972465581977        | 644                 |
| -1089778290 | 7873     | 1525.7374571319701        | 520                 |
| -1106675868 | 7842     | 1504.4926039275695        | 478                 |
| -1206311089 | 7831     | 1504.5132167028476        | 387                 |
| -2078396643 | 7750     | 1563.9451612903226        | 484                 |
| -1869210064 | 7655     | 1637.7320705421293        | 391                 |
| -1682685917 | 7639     | 1546.9876947244404        | 492                 |
| -1223964817 | 7638     | 1570.7215239591517        | 322                 |
| -1827755091 | 7519     | 1697.8126080595823        | 591                 |
| 2068464272  | 7325     | 1606.8172013651877        | 374                 |
| 1355275169  | 7035     | 1531.8683724235964        | 394                 |
| -480879923  | 6868     | 1624.864735002912         | 525                 |
| 2061209781  | 6853     | 1658.215088282504         | 316                 |
| -1295078784 | 6484     | 1530.874460209747         | 402                 |
+-------------+----------+---------------------------+---------------------+
+-------------+----------+---------------------------+---------------------+
| ClientIP    | count(*) | avg(hits.ResolutionWidth) | sum(hits.IsRefresh) |
+-------------+----------+---------------------------+---------------------+
| -39921974   | 47008    | 1917.0                    | 29655               |
| -1698104457 | 29121    | 1995.3132790769548        | 22088               |
| -1175819552 | 25333    | 1917.0                    | 0                   |
| 1696638182  | 20021    | 1867.4449328205385        | 1233                |
| 1138507705  | 15689    | 1349.090063101536         | 703                 |
| -927025522  | 12720    | 1622.9008647798742        | 888                 |
| -1262139876 | 11259    | 1499.2942534861           | 875                 |
| 1740861572  | 11175    | 1528.5076510067115        | 718                 |
| -807147100  | 9787     | 1564.8420353530194        | 698                 |
| -631062503  | 9648     | 1503.7452321724709        | 782                 |
| -111251117  | 9597     | 1640.3766802125665        | 165                 |
| -1945757555 | 9479     | 1505.3858001898934        | 686                 |
| -446221142  | 9415     | 1461.9997875730219        | 496                 |
| -1870623097 | 9144     | 1526.2832458442695        | 797                 |
| -1052437439 | 9100     | 1517.5864835164834        | 643                 |
| -1151786387 | 9061     | 1521.788654673877         | 689                 |
| -497906719  | 9050     | 1543.3558011049724        | 768                 |
| 1146197031  | 9034     | 1551.7988709320346        | 490                 |
| -265917476  | 8971     | 1532.862445658232         | 463                 |
| -792059583  | 8772     | 1513.2347241222071        | 651                 |
| -1836087206 | 8750     | 1511.7882285714286        | 530                 |
| -489681341  | 8706     | 1523.573857110039         | 457                 |
| -213744156  | 8658     | 1516.1770616770616        | 653                 |
| -465813166  | 8543     | 1523.1237270279762        | 534                 |
| -607339269  | 8517     | 1519.6034988845838        | 642                 |
| -277892100  | 8509     | 1050.031261017746         | 293                 |
| -146201903  | 8487     | 1509.0166136443972        | 500                 |
| -398753756  | 8472     | 1540.471553352219         | 542                 |
| -859144196  | 8404     | 1489.707401237506         | 595                 |
| -947382330  | 8398     | 1505.2100500119077        | 571                 |
| -1743596151 | 8396     | 1536.2642925202476        | 531                 |
| -1125673878 | 8284     | 1555.8364316755192        | 639                 |
| -1279588490 | 8274     | 1500.3751510756588        | 668                 |
| -909494221  | 8124     | 1527.725258493353         | 348                 |
| 898648863   | 8093     | 1694.828617323613         | 1001                |
| -748701126  | 8034     | 1497.255787901419         | 357                 |
| -1621554155 | 7990     | 1548.2972465581977        | 644                 |
| -1089778290 | 7873     | 1525.7374571319701        | 520                 |
| -1106675868 | 7842     | 1504.4926039275695        | 478                 |
| -1206311089 | 7831     | 1504.5132167028476        | 387                 |
| -2078396643 | 7750     | 1563.9451612903226        | 484                 |
| -1869210064 | 7655     | 1637.7320705421293        | 391                 |
| -1682685917 | 7639     | 1546.9876947244404        | 492                 |
| -1223964817 | 7638     | 1570.7215239591517        | 322                 |
| -1827755091 | 7519     | 1697.8126080595823        | 591                 |
| 2068464272  | 7325     | 1606.8172013651877        | 374                 |
| 1355275169  | 7035     | 1531.8683724235964        | 394                 |
| -480879923  | 6868     | 1624.864735002912         | 525                 |
| 2061209781  | 6853     | 1658.215088282504         | 316                 |
| -1295078784 | 6484     | 1530.874460209747         | 402                 |
+-------------+----------+---------------------------+---------------------+
